time,magnitude,depth,longitude,latitude,place,event_id,year,month,day,energy_proxy
2022-03-11 22:53:37.880000,1.0,,14.1485,40.825667,Campi Flegrei,30176461,2022,3,2022-03-11,31.622776601683793
2022-03-13 13:58:45.420000,1.1,,14.145833,40.8295,Campi Flegrei,30185821,2022,3,2022-03-13,44.668359215096324
2022-03-13 15:48:48.500000,1.4,,14.141333,40.833667,Campi Flegrei,30186471,2022,3,2022-03-13,125.89254117941663
2022-03-13 20:55:19.180000,1.1,,14.1235,40.826333,Campi Flegrei,30187941,2022,3,2022-03-13,44.668359215096324
2022-03-13 21:02:48.579000,1.0,,14.120333,40.829167,Campi Flegrei,30188081,2022,3,2022-03-13,31.622776601683793
2022-03-14 05:30:03.930000,1.1,,14.122,40.827667,Campi Flegrei,30189451,2022,3,2022-03-14,44.668359215096324
2022-03-16 14:14:35.180000,2.7,,14.1368,40.8318,Campi Flegrei,30205901,2022,3,2022-03-16,11220.184543019654
2022-03-16 14:31:32.730000,1.5,,14.1377,40.8283,Campi Flegrei,30206011,2022,3,2022-03-16,177.82794100389228
2022-03-16 14:39:54.589000,1.1,,14.138333,40.8315,Campi Flegrei,30206701,2022,3,2022-03-16,44.668359215096324
2022-03-16 20:29:38.410000,1.1,,14.09,40.823,Campi Flegrei,30208241,2022,3,2022-03-16,44.668359215096324
2022-03-27 20:49:52.670000,1.3,,14.1477,40.8352,Campi Flegrei,30332831,2022,3,2022-03-27,89.12509381337459
2022-03-29 17:45:32.790000,3.0,,14.149,40.8337,Campi Flegrei,30350681,2022,3,2022-03-29,31622.776601683792
2022-03-29 22:06:32.680000,1.1,,14.152833,40.827833,Campi Flegrei,30352001,2022,3,2022-03-29,44.668359215096324
2022-03-29 23:31:13.289000,1.1,,14.154833,40.827167,Campi Flegrei,30352101,2022,3,2022-03-29,44.668359215096324
2022-03-30 01:58:43.769000,1.0,,14.123333,40.8315,Campi Flegrei,30352591,2022,3,2022-03-30,31.622776601683793
2022-04-01 08:36:04.850000,1.7,,14.1173,40.8297,Campi Flegrei,30387631,2022,4,2022-04-01,354.8133892335753
2022-04-05 03:37:59.089000,2.0,,14.136167,40.825333,Campi Flegrei,30432351,2022,4,2022-04-05,1000.0
2022-04-05 03:43:30.030000,1.9,,14.1333,40.8238,Campi Flegrei,30432271,2022,4,2022-04-05,707.9457843841374
2022-04-05 04:00:02.769000,1.1,,14.1365,40.8285,Campi Flegrei,30432501,2022,4,2022-04-05,44.668359215096324
2022-04-06 00:33:19.940000,1.1,,14.138167,40.827833,Campi Flegrei,30442921,2022,4,2022-04-06,44.668359215096324
2022-04-07 00:16:14.490000,1.9,,14.1332,40.823,Campi Flegrei,30450461,2022,4,2022-04-07,707.9457843841374
2022-04-07 17:46:05.039000,1.3,,14.145667,40.8335,Campi Flegrei,30462441,2022,4,2022-04-07,89.12509381337459
2022-04-07 21:57:51.299000,1.0,,14.143,40.823333,Campi Flegrei,30466291,2022,4,2022-04-07,31.622776601683793
