time,dl_anomaly_score,dl_is_anomaly
2008-12-14,-0.08532546733063298,0
2008-12-15,-0.08753597834145953,0
2008-12-16,-0.08390495841581116,0
2008-12-17,-0.05999721361046999,0
2008-12-18,-0.08295077027244743,0
2008-12-19,-0.0760186613268603,0
2008-12-20,-0.08904094284269824,0
2008-12-21,-0.07516248779374539,0
2008-12-22,-0.07980378106872507,0
2008-12-23,-0.08582953436145332,0
2008-12-24,-0.08204879961207232,0
2008-12-25,-0.08620749106529396,0
2008-12-26,-0.08748914588639473,0
2008-12-27,-0.07963743094191125,0
2008-12-28,-0.07658031272029522,0
2008-12-29,-0.08334037181681549,0
2008-12-30,-0.08283709795014975,0
2008-12-31,-0.07712380274142326,0
2009-01-01,-0.0746197836703245,0
2009-01-02,-0.08311083950819823,0
2009-01-03,-0.08701817041344843,0
2009-01-04,-0.0890447007734683,0
2009-01-05,-0.0837084705484002,0
2009-01-06,-0.08927347552734177,0
2009-01-07,-0.07826570494687857,0
2009-01-08,-0.08096941746671972,0
2009-01-09,-0.08357107974149973,0
2009-01-10,-0.08833241818110803,0
2009-01-11,-0.0851887723973364,0
2009-01-12,-0.08775433722059492,0
2009-01-13,-0.08685687328965472,0
2009-01-14,-0.08115904092574545,0
2009-01-15,-0.08855225627692177,0
2009-01-16,-0.07657508902168728,0
2009-01-17,-0.087491212170236,0
2009-01-18,-0.07552436680063866,0
2009-01-19,-0.08459014477874806,0
2009-01-20,-0.07414252497388964,0
2009-01-21,-0.08786482299585947,0
2009-01-22,-0.08513310027461188,0
2009-01-23,-0.08585674871720318,0
2009-01-24,-0.07157805293819149,0
2009-01-25,-0.08267284073762232,0
2009-01-26,-0.07432609284561828,0
2009-01-27,-0.08488413123264077,0
2009-01-28,-0.07831549923420009,0
2009-01-29,-0.06866681420162267,0
2009-01-30,-0.08212298777349997,0
2009-01-31,-0.08190676726937338,0
2009-02-01,-0.08502851962642262,0
2009-02-02,-0.08061183023425059,0
2009-02-03,-0.08486676706028408,0
2009-02-04,-0.08174550838366915,0
2009-02-05,-0.08924945757364994,0
2009-02-06,-0.07909581169873418,0
2009-02-07,-0.08640637746080912,0
2009-02-08,-0.08106801875928303,0
2009-02-09,-0.07878165135977677,0
2009-02-10,-0.08899410339103023,0
2009-02-11,-0.08205679722266004,0
2009-02-12,-0.08955007177201457,0
2009-02-13,-0.08591786635772743,0
2009-02-14,-0.08610706320686358,0
2009-02-15,-0.08481531648865756,0
2009-02-16,-0.08157036159441686,0
2009-02-17,-0.07893072037420214,0
2009-02-18,-0.08703245292394682,0
2009-02-19,-0.08787495628551463,0
2009-02-20,-0.08234854007241425,0
2009-02-21,-0.08921879950788014,0
2009-02-22,-0.07479271602393935,0
2009-02-23,-0.0805208508280352,0
2009-02-24,-0.08808902683560015,0
2009-02-25,-0.08161604904376743,0
2009-02-26,-0.07789772609746311,0
2009-02-27,-0.08086091208105291,0
2009-02-28,-0.08269360186403557,0
2009-03-01,-0.08542222035172413,0
2009-03-02,-0.08153686232116569,0
2009-03-03,-0.08131695540029389,0
2009-03-04,-0.08146920850284559,0
2009-03-05,-0.07461732854442478,0
2009-03-06,-0.08473239323221743,0
2009-03-07,-0.0804004359815797,0
2009-03-08,-0.07861550673591161,0
2009-03-09,-0.08306390221182844,0
2009-03-10,-0.08708515219693146,0
2009-03-11,-0.08667273414718996,0
2009-03-12,-0.08639298071851356,0
2009-03-13,-0.087849022502846,0
2009-03-14,-0.08877352399373244,0
2009-03-15,-0.07885050147826042,0
2009-03-16,-0.08151263462379789,0
2009-03-17,-0.08324083211442355,0
2009-03-18,-0.07472264721526865,0
2009-03-19,-0.08545648574949838,0
2009-03-20,-0.0851699502659961,0
2009-03-21,-0.08459622833525128,0
2009-03-22,-0.08740986728614854,0
2009-03-23,-0.07548969216843346,0
2009-03-24,-0.07228393061947279,0
2009-03-25,-0.08268464432637773,0
2009-03-26,-0.0863294650631125,0
2009-03-27,-0.08765340469483895,0
2009-03-28,-0.08682674409612971,0
2009-03-29,-0.08878529009909295,0
2009-03-30,-0.07762133083342931,0
2009-03-31,-0.08186692486390403,0
2009-04-01,-0.08008365487795824,0
2009-04-02,-0.08575106745805414,0
2009-04-03,-0.08476827448215365,0
2009-04-04,-0.08484540046846925,0
2009-04-05,-0.08786457504479164,0
2009-04-06,-0.08286724654631264,0
2009-04-07,-0.0885324934208112,0
2009-04-08,-0.08666474963265941,0
2009-04-09,-0.084946463283156,0
2009-04-10,-0.08305955168951618,0
2009-04-11,-0.08337802077625091,0
2009-04-12,-0.08955738706187089,0
2009-04-13,-0.07745323798025544,0
2009-04-14,-0.07174330242940055,0
2009-04-15,-0.07381233422387135,0
2009-04-16,-0.08377435878889275,0
2009-04-17,-0.08172763300036362,0
2009-04-18,-0.07908344881449382,0
2009-04-19,-0.08924758884184474,0
2009-04-20,-0.07896192724763341,0
2009-04-21,-0.07724306852115854,0
2009-04-22,-0.08539294315427548,0
2009-04-23,-0.08429175027950651,0
2009-04-24,-0.07887489988557528,0
2009-04-25,-0.08063233653517318,0
2009-04-26,-0.07441836170936131,0
2009-04-27,-0.07184777721957514,0
2009-04-28,-0.07609881379190282,0
2009-04-29,-0.08585567646181325,0
2009-04-30,-0.08053556321437318,0
2009-05-01,-0.08511353607978947,0
2009-05-02,-0.08855620134265335,0
2009-05-03,-0.08282882604794367,0
2009-05-04,-0.07619436359368045,0
2009-05-05,-0.08496179703371648,0
2009-05-06,-0.072101409291295,0
2009-05-07,-0.0844291678185262,0
2009-05-08,-0.07532534852151831,0
2009-05-09,-0.08014186612964533,0
2009-05-10,-0.08692595551160207,0
2009-05-11,-0.07035219018271643,0
2009-05-12,-0.08628532863862451,0
2009-05-13,-0.08346867180740884,0
2009-05-14,-0.08854569074776139,0
2009-05-15,-0.08089550744721588,0
2009-05-16,-0.08183705789415335,0
2009-05-17,-0.08662433361038424,0
2009-05-18,-0.08726238160861266,0
2009-05-19,-0.07839047058672795,0
2009-05-20,-0.08846760163733791,0
2009-05-21,-0.08871607883713666,0
2009-05-22,-0.07008992990410987,0
2009-05-23,-0.08498462825059666,0
2009-05-24,-0.08465469454746759,0
2009-05-25,-0.08570714881457017,0
2009-05-26,-0.08178736755598949,0
2009-05-27,-0.0841648352345884,0
2009-05-28,-0.0774400760194232,0
2009-05-29,-0.0867045032576816,0
2009-05-30,-0.07706579122034359,0
2009-05-31,-0.08788477742662597,0
2009-06-01,-0.07569250257191026,0
2009-06-02,-0.08694064632876485,0
2009-06-03,-0.0802889835872029,0
2009-06-04,-0.07773092203204984,0
2009-06-05,-0.08763630137379198,0
2009-06-06,-0.07728388429227763,0
2009-06-07,-0.08179392760226424,0
2009-06-08,-0.08637939470015424,0
2009-06-09,-0.08933219519573393,0
2009-06-10,-0.08105558218900356,0
2009-06-11,-0.08378298746063385,0
2009-06-12,-0.07881297347618736,0
2009-06-13,-0.08672135388008921,0
2009-06-14,-0.0881481210247376,0
2009-06-15,-0.08113969785835799,0
2009-06-16,-0.07112245823935605,0
2009-06-17,-0.07555987942690547,0
2009-06-18,-0.08034001324906873,0
2009-06-19,-0.07587903240656453,0
2009-06-20,-0.07864387640370235,0
2009-06-21,-0.08828222512466144,0
2009-06-22,-0.08828199610517218,0
2009-06-23,-0.08873636392745801,0
2009-06-24,-0.07442104148312066,0
2009-06-25,-0.07851358579437197,0
2009-06-26,-0.08400444083948727,0
2009-06-27,-0.07940660884431515,0
2009-06-28,-0.08745864092261511,0
2009-06-29,-0.07878371887483034,0
2009-06-30,-0.07488001227983107,0
2009-07-01,-0.0821223540985653,0
2009-07-02,-0.07969323831733492,0
2009-07-03,-0.08092239480887874,0
2009-07-04,-0.08042522487741904,0
2009-07-05,-0.08367119298601619,0
2009-07-06,-0.08463346077898741,0
2009-07-07,-0.08635187723627975,0
2009-07-08,-0.07976745129549934,0
2009-07-09,-0.0830347970933029,0
2009-07-10,-0.07134381886059529,0
2009-07-11,-0.0763289361086904,0
2009-07-12,-0.08425115443823905,0
2009-07-13,-0.08752030557397003,0
2009-07-14,-0.08528830272757808,0
2009-07-15,-0.07269493871765582,0
2009-07-16,-0.07572677895035287,0
2009-07-17,-0.0803454227246717,0
2009-07-18,-0.08813805641201611,0
2009-07-19,-0.08448786626597354,0
2009-07-20,-0.08709929265275795,0
2009-07-21,-0.07895297942107095,0
2009-07-22,-0.0883922904374525,0
2009-07-23,-0.08459892064440042,0
2009-07-24,-0.08017057833194427,0
2009-07-25,-0.08938593248356742,0
2009-07-26,-0.08430491310167687,0
2009-07-27,-0.08425312261089363,0
2009-07-28,-0.07714688447737926,0
2009-07-29,-0.0784945518181252,0
2009-07-30,-0.0846283615733228,0
2009-07-31,-0.08704120368048301,0
2009-08-01,-0.07789474381028315,0
2009-08-02,-0.08684666812023435,0
2009-08-03,-0.08535071311192911,0
2009-08-04,-0.0852909695791838,0
2009-08-05,-0.07784581735128016,0
2009-08-06,-0.08886758484212973,0
2009-08-07,-0.07957194510698105,0
2009-08-08,-0.08224083250916443,0
2009-08-09,-0.07701289826248599,0
2009-08-10,-0.08042623521869378,0
2009-08-11,-0.07814000764751636,0
2009-08-12,-0.07419811453502503,0
2009-08-13,-0.0891941071374816,0
2009-08-14,-0.07533930205119214,0
2009-08-15,-0.08906786090214461,0
2009-08-16,-0.08919092533215393,0
2009-08-17,-0.08819963339709332,0
2009-08-18,-0.08216084750800598,0
2009-08-19,-0.07123572634626912,0
2009-08-20,-0.08952303876651974,0
2009-08-21,-0.08683159564883865,0
2009-08-22,-0.0838442417783889,0
2009-08-23,-0.07886890062327155,0
2009-08-24,-0.07722841522540108,0
2009-08-25,-0.07782963497955028,0
2009-08-26,-0.08090821299966962,0
2009-08-27,-0.07833254477253379,0
2009-08-28,-0.077715509537799,0
2009-08-29,-0.07961031766069064,0
2009-08-30,-0.08616648481974473,0
2009-08-31,-0.07953856473679287,0
2009-09-01,-0.08890333577471028,0
2009-09-02,-0.07918694163527498,0
2009-09-03,-0.08555509566532787,0
2009-09-04,-0.07931528053750597,0
2009-09-05,-0.08470978180641021,0
2009-09-06,-0.08790078205122331,0
2009-09-07,-0.08580358351444721,0
2009-09-08,-0.07655308704247021,0
2009-09-09,-0.0756312921614563,0
2009-09-10,-0.08472233466999884,0
2009-09-11,-0.08761176294149955,0
2009-09-12,-0.08822463756752642,0
2009-09-13,-0.08454677030606186,0
2009-09-14,-0.08614262601075749,0
2009-09-15,-0.08585234179267219,0
2009-09-16,-0.0716577888034627,0
2009-09-17,-0.08747327062813325,0
2009-09-18,-0.08518641424030196,0
2009-09-19,-0.08587895854571688,0
2009-09-20,-0.0844744175758583,0
2009-09-21,-0.08730083351696372,0
2009-09-22,-0.0725421479030868,0
2009-09-23,-0.08139321313870679,0
2009-09-24,-0.08786216525535098,0
2009-09-25,-0.07147224784833461,0
2009-09-26,-0.08604516556644842,0
2009-09-27,-0.08372658849719423,0
2009-09-28,-0.07646095745563981,0
2009-09-29,-0.07891709548577866,0
2009-09-30,-0.08832614732973013,0
2009-10-01,-0.08079446116206698,0
2009-10-02,-0.08807574957594988,0
2009-10-03,-0.08455520783044237,0
2009-10-04,-0.07251294343243239,0
2009-10-05,-0.08470806622936902,0
2009-10-06,-0.08614853719628063,0
2009-10-07,-0.08269941615992045,0
2009-10-08,-0.08441367998199094,0
2009-10-09,-0.07834901512029412,0
2009-10-10,-0.08884283988912556,0
2009-10-11,-0.08160256318722882,0
2009-10-12,-0.08440746712981329,0
2009-10-13,-0.07682683914658543,0
2009-10-14,-0.08856553071178545,0
2009-10-15,-0.07447703916466504,0
2009-10-16,-0.0806941579488359,0
2009-10-17,-0.07337563301067918,0
2009-10-18,-0.0798567727383699,0
2009-10-19,-0.08147455331715027,0
2009-10-20,-0.08530319739620151,0
2009-10-21,-0.08450856120433488,0
2009-10-22,-0.08446107633044532,0
2009-10-23,-0.07942590218816128,0
2009-10-24,-0.08603285418895819,0
2009-10-25,-0.0843419650157408,0
2009-10-26,-0.0852870315798013,0
2009-10-27,-0.084639451967962,0
2009-10-28,-0.08693204527234046,0
2009-10-29,-0.07780058622223056,0
2009-10-30,-0.08861486233748934,0
2009-10-31,-0.07772289522431304,0
2009-11-01,-0.07855143775325861,0
2009-11-02,-0.08385552123534722,0
2009-11-03,-0.08901905231424719,0
2009-11-04,-0.07642542780430868,0
2009-11-05,-0.08678602861431653,0
2009-11-06,-0.08550185138358463,0
2009-11-07,-0.08895988837396243,0
2009-11-08,-0.08792796309837814,0
2009-11-09,-0.08521111822827378,0
2009-11-10,-0.07784425482917424,0
2009-11-11,-0.07230612031733091,0
2009-11-12,-0.08380538759568638,0
2009-11-13,-0.08330697025866034,0
2009-11-14,-0.0841084646222231,0
2009-11-15,-0.08551637282129537,0
2009-11-16,-0.08324347535522024,0
2009-11-17,-0.08231801183022093,0
2009-11-18,-0.08192383104458066,0
2009-11-19,-0.07846153697618023,0
2009-11-20,-0.07271351385707689,0
2009-11-21,-0.07750382361204887,0
2009-11-22,-0.08096641517085053,0
2009-11-23,-0.08583873492849609,0
2009-11-24,-0.0762437115195786,0
2009-11-25,-0.07714641723600009,0
2009-11-26,-0.08428479444153517,0
2009-11-27,-0.08787600574034696,0
2009-11-28,-0.07881903157019955,0
2009-11-29,-0.07817584324062266,0
2009-11-30,-0.07833784108321373,0
2009-12-01,-0.0768646510185256,0
2009-12-02,-0.08190519289713095,0
2009-12-03,-0.08928970036932825,0
2009-12-04,-0.07820130783679019,0
2009-12-05,-0.07776867868395203,0
2009-12-06,-0.07962605945814284,0
2009-12-07,-0.08128087185912436,0
2009-12-08,-0.0819253133768509,0
2009-12-09,-0.08388218750969025,0
2009-12-10,-0.07791279908518436,0
2009-12-11,-0.07921035055191683,0
2009-12-12,-0.07765657349118461,0
2009-12-13,-0.08408105434063576,0
2009-12-14,-0.06488616121798163,0
2009-12-15,-0.08820339855671115,0
2009-12-16,-0.07816213859434183,0
2009-12-17,-0.0871424726131944,0
2009-12-18,-0.08579027269456851,0
2009-12-19,-0.07367166778917998,0
2009-12-20,-0.07896766738427073,0
2009-12-21,-0.08454332485841538,0
2009-12-22,-0.08266283666462435,0
2009-12-23,-0.07532086109590948,0
2009-12-24,-0.08112214786776126,0
2009-12-25,-0.08084506503896892,0
2009-12-26,-0.08572406813794517,0
2009-12-27,-0.08269985021561449,0
2009-12-28,-0.08272974017563231,0
2009-12-29,-0.08857334001042759,0
2009-12-30,-0.08862099836739273,0
2009-12-31,-0.07932000727366233,0
2010-01-01,-0.08672878876230224,0
2010-01-02,-0.08507931397871789,0
2010-01-03,-0.08172060002322513,0
2010-01-04,-0.08816390998153237,0
2010-01-05,-0.08475585131642702,0
2010-01-06,-0.08745671403045963,0
2010-01-07,-0.08564967816979152,0
2010-01-08,-0.08716179260642073,0
2010-01-09,-0.08652561848874242,0
2010-01-10,-0.07268407985219862,0
2010-01-11,-0.07434807504221186,0
2010-01-12,-0.08142275191412658,0
2010-01-13,-0.0858558514644394,0
2010-01-14,-0.0820523797913843,0
2010-01-15,-0.08491714318532774,0
2010-01-16,-0.0754515410699177,0
2010-01-17,-0.0742585491843173,0
2010-01-18,-0.08171356211607195,0
2010-01-19,-0.08737104197339784,0
2010-01-20,-0.0861319295331627,0
2010-01-21,-0.07629635848419873,0
2010-01-22,-0.07861966304457751,0
2010-01-23,-0.0695925514363983,0
2010-01-24,-0.07649284947007386,0
2010-01-25,-0.07783405059622156,0
2010-01-26,-0.07839243074827934,0
2010-01-27,-0.0749732838799599,0
2010-01-28,-0.07008315100463351,0
2010-01-29,-0.08934240843556614,0
2010-01-30,-0.08899428605425391,0
2010-01-31,-0.08819967098832249,0
2010-02-01,-0.07658903911959895,0
2010-02-02,-0.08679713125149473,0
2010-02-03,-0.08181597701622437,0
2010-02-04,-0.07638537913254212,0
2010-02-05,-0.07503830313392403,0
2010-02-06,-0.07032589941182,0
2010-02-07,-0.08698829832785003,0
2010-02-08,-0.0853269983054168,0
2010-02-09,-0.08759714884327732,0
2010-02-10,-0.07499991523071642,0
2010-02-11,-0.0832409901471807,0
2010-02-12,-0.08216033665042966,0
2010-02-13,-0.07715463819108316,0
2010-02-14,-0.08587065220889206,0
2010-02-15,-0.0827679278163359,0
2010-02-16,-0.07677040678631085,0
2010-02-17,-0.08146189754282461,0
2010-02-18,-0.07524405834885542,0
2010-02-19,-0.08540845155832823,0
2010-02-20,-0.08337516938925417,0
2010-02-21,-0.07389113750950145,0
2010-02-22,-0.07808483689799564,0
2010-02-23,-0.08001973825939084,0
2010-02-24,-0.08487076523200526,0
2010-02-25,-0.08725910889718068,0
2010-02-26,-0.0684589807805012,0
2010-02-27,-0.08507754029937221,0
2010-02-28,-0.08106072205142356,0
2010-03-01,-0.0738040556367908,0
2010-03-02,-0.0887190370241227,0
2010-03-03,-0.077373791772661,0
2010-03-04,-0.08029300724005278,0
2010-03-05,-0.07986450029776428,0
2010-03-06,-0.07504234687539375,0
2010-03-07,-0.08878705907892291,0
2010-03-08,-0.08616349975980458,0
2010-03-09,-0.08632669210103804,0
2010-03-10,-0.07352373490991314,0
2010-03-11,-0.0809599308986854,0
2010-03-12,-0.08681278891798365,0
2010-03-13,-0.08742422669257463,0
2010-03-14,-0.0775770802719768,0
2010-03-15,-0.0857385348437493,0
2010-03-16,-0.08612433999866992,0
2010-03-17,-0.08760143747693763,0
2010-03-18,-0.07943696771431044,0
2010-03-19,-0.0828532752286321,0
2010-03-20,-0.07725745759385556,0
2010-03-21,-0.07557986356994717,0
2010-03-22,-0.07883962297005143,0
2010-03-23,-0.08208852529225831,0
2010-03-24,-0.08210493334094618,0
2010-03-25,-0.08115571554422252,0
2010-03-26,-0.08779314572584711,0
2010-03-27,-0.08706177308577231,0
